,Source,Target,Weight
521,data_visualization,pentaho,2
522,data_visualization,business_intelligence_tools_and_technology,8
523,data_visualization,agile_data_warehousing_and_business_intelligence,3
524,data_visualization,information_dashboard,2
525,data_visualization,qlikview,3
526,data_visualization,tableau,4
527,data_visualization,data_scientist,2
528,data_visualization,reporting,2
529,data_visualization,power_bi,3
530,xquery,nosql,2
531,xquery,marklogic,2
532,xquery,marklogic_server,2
533,conservation,hackathons,1
534,prince2,project_management_professional_certification,1
535,prince2,scrum,2
536,prince2,msp,2
537,social_media_analytics,data_mining,4
538,ec2,aws_rds,2
539,ec2,cloud_computing,19
540,ec2,web_service_security,1
541,vr_glasses,virtual_reality,23
542,3d,3d_modeling,5
543,3d,3d_printers,2
544,data_science_using_python,python,9
545,small_business_technology,technology,1
546,aws_design_implementation_and_servicing,cloud_computing,14
547,haxe_programming,programming_languages,2
548,database_development,network_design,1
549,database_development,database_integration_&_migrations,1
550,database_development,big_data,28
551,database_development,fault-tolerance,1
552,database_development,postgresql_and_open_source_projects,2
553,database_development,postgresql,4
554,database_development,dba,3
555,database_development,oracle_big_data_appliance,1
556,programming_languages,pair_programming,10
557,programming_languages,object_oriented_programming,10
558,programming_languages,common_lisp,3
559,programming_languages,women_coders,2
560,programming_languages,c_programming_language,2
561,programming_languages,computer_programming_c/c++,2
562,programming_languages,jvm_languages,10
563,programming_languages,go_programming_language,6
564,programming_languages,clojurescript,5
565,programming_languages,datomic,3
566,programming_languages,web_programming,6
567,programming_languages,rust,3
568,programming_languages,elixir_programming,6
569,programming_languages,study,1
570,programming_languages,coding_for_beginners,11
571,programming_languages,ladies_who_code,1
572,programming_languages,functional_programming,53
573,programming_languages,programming_language_theory,1
574,programming_languages,javascript,44
575,programming_languages,programmers,2
576,programming_languages,c/c++,6
577,programming_languages,golang,5
578,programming_languages,python,26
579,programming_languages,user_group,2
580,programming_languages,elm_programming,2
581,programming_languages,functional_programming_in_python,5
582,online_marketing,conversion_optimization,2
583,online_marketing,web_design,45
584,online_marketing,networking_for_marketing_professionals,3
585,online_marketing,marketing_automation,3
586,online_marketing,seo_for_small_businesses,4
587,online_marketing,marketing_strategy,6
588,online_marketing,digital_marketing,28
589,online_marketing,app_development,1
590,online_marketing,demandware,1
591,online_marketing,mobile_app_marketing,1
592,online_marketing,vloggers,2
593,online_marketing,search_engine_marketing,9
594,online_marketing,seo_(search_engine_optimization),39
595,online_marketing,social_media,41
596,online_marketing,marketing,23
597,online_marketing,help_for_business_startups,2
598,online_marketing,seo_for_small_to_medium_sized_businesses,3
599,online_marketing,google_seo,3
600,online_marketing,e-commerce,10
601,online_marketing,social_media_marketing,31
602,online_marketing,facebook_application_development,1
603,building_an_online_business,ecommerce_marketing,5
604,cybersecurity,cybersecurity_innovation,4
605,cybersecurity,information_security,28
606,cybersecurity,cyber_safety,3
607,hadoop,hbase,11
608,hadoop,big_data,95
609,hadoop,apache_hive,3
610,hadoop,supercomputing,2
611,hadoop,hive,8
612,hadoop,apache_pig,3
613,hadoop,data_profiling,2
614,hadoop,couchbase,3
615,magento_developers,magento_enterprise,9
616,magento_developers,magento,10
617,french_language,web_application_development,1
618,jobs,mobile_development,2
619,continuous_deployment,devops,10
620,continuous_deployment,jenkins,2
621,continuous_deployment,build_automation,2
622,email_marketing_2.0,e-commerce,2
623,medical_device_technology,diybio,1
624,medical_device_technology,biotech_&_medical,3
625,medical_device_technology,medical_technology,2
626,fba_fulfillment_by_amazon,amazon_seller,6
627,geospatial_technologies,mapping,3
628,craft_cms,twig,3
629,craft_cms,cms_(content_management_systems),3
630,ruby_on_rails,ruby,22
631,ruby_on_rails,ruby_on_rails_amazon_web_services,1
632,ruby_on_rails,women_who_code,5
633,ruby_on_rails,ruby_on_rails_testing,2
634,ruby_on_rails,ruby_on_rails_scalability,2
635,ruby_on_rails,rails,2
636,mobile_startups,technology_startups,2
637,women_in_technology,technology,9
638,women_in_technology,women_in_computing,3
639,women_in_technology,women_software_developers,6
640,women_in_technology,women_programmers,8
